p,q,mean_absorption_time,mean_first_hit_time,mean_tail_frequency,mean_entrenchment_degree,mean_max_nontrue_formula_frequency,mean_true_world_formula_frequency,runs_reaching_absorption,runs_reaching_first_hit
0.14,0.01,11.183,8.156,1.0,11.665,0.06865406895614265,0.2625571483845889,1000,1000
0.14,0.02,23.522,16.183,1.0,7.818,0.07943070904074585,0.19007718145291833,1000,1000
0.14,0.03,37.242,26.005,1.0,6.403,0.08801614913743282,0.16648858584187148,1000,1000
0.14,0.04,52.439,35.007,1.0,5.834,0.0963136958489887,0.15882803035299758,1000,1000
0.14,0.05,77.527,50.549,1.0,5.577,0.10327100390291488,0.15255407729570578,1000,1000
0.14,0.06,101.364,64.227,1.0,4.994,0.11259621916514695,0.15145041821478206,1000,1000
0.14,0.07,141.502,91.454,1.0,4.874,0.11914944183700572,0.1500076052620397,1000,1000
0.14,0.08,188.923,121.62,1.0,4.736,0.1262747238612727,0.15143872154229052,1000,1000
0.14,0.09,271.608,177.781,1.0,4.48,0.1316654624329953,0.15029379957892416,1000,1000
0.14,0.10,437.054,287.08,1.0,4.446,0.13642586159351772,0.14975404324284056,1000,1000
0.14,0.11,724.824,494.301,1.0,4.341,0.14066683183209713,0.14994191896488143,1000,1000
0.14,0.12,1524.302,1066.064,1.0,4.258,0.14348949259240937,0.14893912514022184,1000,1000
0.14,0.13,5245.996,3888.716,1.0,4.246,0.14526339304978608,0.14781415785162358,1000,1000
0.15,0.01,9.285,6.891,1.0,12.225,0.06957736860693363,0.27809148343172246,1000,1000
0.15,0.02,21.042,14.287,1.0,8.421,0.07971443352026653,0.20270631244617188,1000,1000
0.15,0.03,33.78,23.276,1.0,7.056,0.08985164683212447,0.17929333210238746,1000,1000
0.15,0.04,45.359,29.147,1.0,6.23,0.0985369979966637,0.16902976293348967,1000,1000
0.15,0.05,62.421,40.651,1.0,5.693,0.1068446755707466,0.16326190291437642,1000,1000
0.15,0.06,82.035,52.0,1.0,5.505,0.11591641314638866,0.16366669214156085,1000,1000
0.15,0.07,111.397,68.319,1.0,5.327,0.12336405346158127,0.16182547211552353,1000,1000
0.15,0.08,146.924,92.768,1.0,4.915,0.13104539983722457,0.16173165738772985,1000,1000
0.15,0.09,200.039,124.764,1.0,4.724,0.13725884462427024,0.16169662891128986,1000,1000
0.15,0.10,295.079,189.708,1.0,4.62,0.1423342244290006,0.16053706425244121,1000,1000
0.15,0.11,459.832,307.005,1.0,4.419,0.14733008688809696,0.16081916396207088,1000,1000
0.15,0.12,751.645,490.486,1.0,4.502,0.15114374027601554,0.16070629960537788,1000,1000
0.15,0.13,1666.917,1195.576,1.0,4.374,0.15332769374238994,0.15858513039228786,1000,1000
0.15,0.14,5796.313,4431.085,1.0,4.276,0.1546050026969262,0.15687270589388505,1000,1000
0.16,0.01,9.564,7.072,1.0,13.213,0.06836832632074469,0.292849155656808,1000,1000
0.16,0.02,18.368,13.631,1.0,8.807,0.08077574816186765,0.21346771571183343,1000,1000
0.16,0.03,29.1,19.794,1.0,7.354,0.09096692509914783,0.1887742981769786,1000,1000
0.16,0.04,39.977,27.161,1.0,6.671,0.10084850155487812,0.1806608130558346,1000,1000
0.16,0.05,55.131,35.657,1.0,6.328,0.1089169170161364,0.17508192122510383,1000,1000
0.16,0.06,75.32,49.945,1.0,5.748,0.11791076096526355,0.1698530232288192,1000,1000
0.16,0.07,90.659,57.957,1.0,5.476,0.1264511804469721,0.17101927840696315,1000,1000
0.16,0.08,119.565,75.636,1.0,5.337,0.1343459757556167,0.1717918996680094,1000,1000
0.16,0.09,159.799,97.8,1.0,4.962,0.14139673298330688,0.17024915886232123,1000,1000
0.16,0.10,224.257,139.074,1.0,4.828,0.14760657401937866,0.17094085602377576,1000,1000
0.16,0.11,302.282,189.071,1.0,4.629,0.15390350627226637,0.17179616461668953,1000,1000
0.16,0.12,508.045,328.122,1.0,4.781,0.15669245843704693,0.16940989655981542,1000,1000
0.16,0.13,816.569,550.983,1.0,4.587,0.16161067305729399,0.1707373542145993,1000,1000
0.16,0.14,1662.555,1201.846,1.0,4.43,0.1638413790562535,0.16899780093378794,1000,1000
